Nom,Prix,Prix barré,Lien
Infinix HOT 50  - 128Go + 8Go - 50 MP - 5000 MAh - Gris - 25 Mois Garantie,"81,700 FCFA","100,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=IN805MP1JF5P3NAFAMZ-40984018&return=%2Ftelephone-tablette%2F%3Fpage%3D1
Nokia 150 2.4'' 1450 Mah Radio FM Dual / Double SIM 2Puces Torche - Noir,"13,500 FCFA","18,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=NO228MP0XA0EBNAFAMZ-41293206&return=%2Ftelephone-tablette%2F%3Fpage%3D1
"XIAOMI Redmi A3X - 6.71"" - 2SIM - 4G - 5/8 Mpx - 3/64 Go - Noir - Garantie 12 Mois","43,350 FCFA","50,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=XI928MP1AHVSKNAFAMZ-40335172&return=%2Ftelephone-tablette%2F%3Fpage%3D1
"Samsung Galaxy A05 - 4G - 2 SIM -  6.7"" - 4/64Go - 50Mpx - 5000 MAh - Noir + 24 Mois De Garantie","50,550 FCFA","60,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=SA024MP0DGUGCNAFAMZ-36382109&return=%2Ftelephone-tablette%2F%3Fpage%3D1
VIC ♛20000mAh Power Banks Portable Charger Ultra Slim Battery Pack( Type C Input),"3,916 FCFA","8,856 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=VI606EA06YSXGNAFAMZ-39734258&return=%2Ftelephone-tablette%2F%3Fpage%3D1
VIC True Bluetooth Air PRO3 Wireless Headset HIFI Fashion Earphone,"1,570 FCFA","6,118 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=VI606EA08T6Z4NAFAMZ-40731902&return=%2Ftelephone-tablette%2F%3Fpage%3D1
"XIAOMI Redmi A3X - 6.71"" - 2SIM - 4G - 5/8 Mpx - 3/64 Go - Vert - Garantie 12 Mois","43,550 FCFA","50,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=XI928MP0PLCQSNAFAMZ-40334970&return=%2Ftelephone-tablette%2F%3Fpage%3D1
Écouteurs Sans Fil Bluetooth Avec Microphone Casque M10,"1,800 FCFA","3,529 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA1M8FLANAFAMZ-36878439&return=%2Ftelephone-tablette%2F%3Fpage%3D1
XIAOMI Redmi 14C - 6.74 - 4G - 8/50 Mpx - 4/128Go - Bleu - Garantie 12 Mois,"55,900 FCFA","85,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=XI928MP0YBZDFNAFAMZ-40820670&return=%2Ftelephone-tablette%2F%3Fpage%3D1
Bluetooth Ecouteur - M10 True Casque Sans Fil Longue Durée - Noir,"1,990 FCFA","4,020 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA1APPQANAFAMZ-36586063&return=%2Ftelephone-tablette%2F%3Fpage%3D1
"Samsung Galaxy A05 - 4G - 2 SIM -  6.7"" - 4/64Go - 50Mpx - 5000 MAh - Vert + 24 Mois De Garantie","50,550 FCFA","60,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=SA024MP1E7OGANAFAMZ-36840057&return=%2Ftelephone-tablette%2F%3Fpage%3D1
Oreillette Bluetooth Air Pro 3 - Blanc,"1,550 FCFA","4,098 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA04XCLLNAFAMZ-19743930&return=%2Ftelephone-tablette%2F%3Fpage%3D1
GUIXIA  Ecouteur Bluetooth Pro4 - Blanc,"3,687 FCFA",,https://www.jumia.ci/customer/account/login/?tkWl=GE070EA0GZ4IENAFAMZ-34699763&return=%2Ftelephone-tablette%2F%3Fpage%3D1
Ace Elec Power Banks 10000 MAh Utra Slim Portable Fast Charger,"2,740 FCFA","5,588 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=AC851EA1KKATWNAFAMZ-32703107&return=%2Ftelephone-tablette%2F%3Fpage%3D1
GUEETON Fast Charge Power Bank 20000mAh Black,"3,890 FCFA","7,667 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA196114NAFAMZ-40667956&return=%2Ftelephone-tablette%2F%3Fpage%3D1
S20 - Ecouteurs Bluetooth + Boitier De Charge 2200 Mah - Noir,"2,748 FCFA","6,770 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA14CZ46NAFAMZ-28228832&return=%2Ftelephone-tablette%2F%3Fpage%3D1
Écouteurs Bluetooth S20 - Power Bank 2200 Mah - Noir,"2,993 FCFA","6,191 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA0MAXXENAFAMZ-36586048&return=%2Ftelephone-tablette%2F%3Fpage%3D1
Samsung Galaxy A16 4G RAM 4Go - ROM 128Go - Noir,"85,000 FCFA","160,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=SA024MP0ND1UVNAFAMZ-40866603&return=%2Ftelephone-tablette%2F%3Fpage%3D1
F9 - Écouteur Sans Fil - Bluetooth 5.3 - Noir,"2,550 FCFA","8,529 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA0AVONDNAFAMZ-19743931&return=%2Ftelephone-tablette%2F%3Fpage%3D1
"Guixia Air31 Écouteurs Intra-Auriculaires Bluetooth Transparent À Réduction De Bruit, Casque Sans Fil Avec Affichage Numérique","2,049 FCFA","3,908 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA1DA13YNAFAMZ-37019924&return=%2Ftelephone-tablette%2F%3Fpage%3D1
"Samsung Galaxy A05 - 6.7"" - Ram 4/64Go - 5000mAh - 4G - Noir","49,000 FCFA","98,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=SA024MP0MA52SNAFAMZ-40282431&return=%2Ftelephone-tablette%2F%3Fpage%3D1
"XIAOMI Redmi A3X - 6.71"" - 2SIM - 4G - 5/8 Mpx - 4/128 Go - Noir - Garantie 12 Mois","47,500 FCFA","60,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=XI928MP14JJQSNAFAMZ-40335171&return=%2Ftelephone-tablette%2F%3Fpage%3D1
"Samsung Galaxy A05 - 4G - 2 SIM -  6.7"" - 4/64Go - 50Mpx - 5000 MAh - Argent + 24 Mois De Garantie","50,550 FCFA","60,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=SA024MP0RR8Z0NAFAMZ-36382159&return=%2Ftelephone-tablette%2F%3Fpage%3D1
Guixia Air31 - Écouteurs Bluetooth Intra-Auriculaires,"2,049 FCFA","3,908 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA028SBINAFAMZ-37019926&return=%2Ftelephone-tablette%2F%3Fpage%3D1
XIAOMI Redmi 14C - 6.74 - 4G - 8/50 Mpx - 8/256 Go - Vert - Garantie 12 Mois,"75,900 FCFA","100,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=XI928MP120QOZNAFAMZ-40753568&return=%2Ftelephone-tablette%2F%3Fpage%3D1
Samsung Galaxy A16 4G RAM 4Go - ROM 128Go - Gray,"85,000 FCFA","160,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=SA024MP15VMRRNAFAMZ-40866617&return=%2Ftelephone-tablette%2F%3Fpage%3D1
"Tecno Spark 30C - 6,67"" - 128Go Rom - (4+4)Go Ram - 2 Sim - 50 Mpx - 5000 MAh","69,500 FCFA",,https://www.jumia.ci/customer/account/login/?tkWl=TE292MP0AF322NAFAMZ-35242673&return=%2Ftelephone-tablette%2F%3Fpage%3D1
"Tecno POP 9 - 6,67"" - 128GO ROM- (3+3)GO RAM - 2 SIM - 13MP - 5000MAH - W","61,500 FCFA","75,000 FCFA",https://www.jumia.ci/tecno-pop-9-667-128go-rom-33go-ram-2-sim-13mp-5000mah-w-29940089.html
PRO4 Wireless Earphone Bluetooth 5.1 Headset - White,"1,890 FCFA","3,979 FCFA",https://www.jumia.ci/generic-pro4-wireless-earphone-bluetooth-5.1-headset-white-21264237.html
GUEETON Trépied Bluetooth Selfie Stick + Lumière D'appoint,"2,180 FCFA","3,981 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA11LMPMNAFAMZ-25858575&return=%2Ftelephone-tablette%2F%3Fpage%3D1
Infinix Smart 9 HD  - 64Go + 3Go - 8 MP - 5000 MAh - Or - 12 Mois Garantie,"50,700 FCFA","65,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=IN805MP0LQRV3NAFAMZ-40882151&return=%2Ftelephone-tablette%2F%3Fpage%3D1
2.2''Pouces Plein écran Tactile Montre Intelligente Sport Fitness Téléphone,"5,990 FCFA","11,318 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA1BTP0GNAFAMZ-39543024&return=%2Ftelephone-tablette%2F%3Fpage%3D1
"Itel A90, écran LCD IPS 6,6"", 5000 MAh, 128+3 Go, Double Sim - Noir","43,000 FCFA","57,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=IT293MP18ZXINNAFAMZ-41472081&return=%2Ftelephone-tablette%2F%3Fpage%3D1
"Tecno POP 8 - 6.6"" - 2 SIM - 4G LTE - 64Go ROM - (2+2)Go RAM - 8Mpx - 13Mpx - 5000 MAh - BLANC","49,800 FCFA",,https://www.jumia.ci/customer/account/login/?tkWl=TE292MP0W2F94NAFAMZ-40419329&return=%2Ftelephone-tablette%2F%3Fpage%3D1
S20 - Ecouteurs Bluetooth + Boitier De Charge 2200 Mah - Blanc,"3,380 FCFA","7,020 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA165RPSNAFAMZ-35275232&return=%2Ftelephone-tablette%2F%3Fpage%3D1
Ace Elec Power Banks 20000 MAh Utra Slim Portable Fast Charger,"4,650 FCFA","9,078 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=AC851EA0C75OYNAFAMZ-33983249&return=%2Ftelephone-tablette%2F%3Fpage%3D1
EAGEAT S20 Wireless Bluetooth Earphone Touch LED Stereo Audi,"2,841 FCFA","4,343 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA14K5CKNAFAMZ-40282130&return=%2Ftelephone-tablette%2F%3Fpage%3D1
Oreillette Bluetooth Sans Fil - 3000MAH - Noir,"2,850 FCFA","5,471 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA0UUR8MNAFAMZ-34023655&return=%2Ftelephone-tablette%2F%3Fpage%3D1
T800 Ultra - Montre Connectée Bluetooth - Gris,"3,980 FCFA","10,550 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA11606SNAFAMZ-36459928&return=%2Ftelephone-tablette%2F%3Fpage%3D1
Ace Elec Mini Pro 4 Oreillette Bluetooth Stereo Écouteurs Bluetooth - Blanc,"2,250 FCFA","4,098 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA0IDVKTNAFAMZ-19825482&return=%2Ftelephone-tablette%2F%3Fpage%3D1
Oreillette Bluetooth Air Pro 3 - Blanc,"1,550 FCFA","3,706 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA11ACXANAFAMZ-26041608&return=%2Ftelephone-tablette%2F%3Fpage%3D2
"XIAOMI Redmi A3X - 6.71"" - 2SIM - 4G - 5/8 Mpx - 4/128 Go - Vert - Garantie 12 Mois","47,500 FCFA","60,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=XI928MP11I0UCNAFAMZ-40334972&return=%2Ftelephone-tablette%2F%3Fpage%3D2
Casque Bluetooth P9 Sans Fil - Compatible Avec IOS Et Android - Noir,"2,950 FCFA","10,550 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA1AJABQNAFAMZ-36897664&return=%2Ftelephone-tablette%2F%3Fpage%3D2
